(645,23d1) , (3b3,53f) , #203c#1e5c#ed2#1e5c#1f32#c6c#1e5c#ef2#15bf#
(1025,10d5) , (6bd,2fa1) , #10b#688#893#186#ce7#e9c#d65#ca8#e77#72c#
(3881,46ab) , (3881,46ab) , #188#3c26#220a#220a#ee3#bda#5d1#ac9#3d0c#1db4#1fea#
(647,6f5) , (1d5,c3d) , #42b#489#57f#38f#ff#c8#1ed#57f#43e#
(b0f,1e65) , (b0f,1e65) , #193e#1642#1d64#c2a#1705#6a6#d3b#108f#b54#d08#
(3b,6e9) , (1d5,c3d) , #14e#3d5#4ab#24b#52c#442#2e2#4ab#5bb#
(34f,973) , (6bd,2fa1) , #51f#813#a0#17b#e#592#830#e9#816#267#
(20e1,6163) , (20e1,6163) , #2895#5113#48a8#4ff7#12d3#3755#3476#12d3#3476#55da#40b5#
(1031,14ad) , (43,3d3) , #7e8#21b#7c0#136a#7c0#596#7c0#f30#
(1fe3,2293) , (1fe3,2293) , #2262#1ac2#191a#efd#1dea#9b5#1cea#1cea#1be6#1dea#220a#
(8a7,b53) , (43,3d3) , #28#6e8#19f#731#19f#d9#19f#8d4#
(505,69b) , (b3,3d3) , #204#3fd#282#49e#282#569#282#1c3#
(7277,778f) , (1d5,c3d) , #d8#6655#6e9c#2467#4ad2#76d5#5b19#6e9c#3313#
(621,1c03) , (b3,3d3) , #1a4c#9db#142b#5ad#142b#4bb#142b#13da#
(124d,1cc3) , (3cb,82db) , #1c01#fb9#11f0#14ba#17e#1506#3fd#b9a#14ba#1270#
(5269,7d6f) , (6bd,2fa1) , #729#3450#56e#4701#61ed#25bd#576b#5f37#6d92#3e#
(1ea1,2b0f) , (8c3,d4b) , #244b#1f1c#165d#1bdc#1624#fca#397#32#7c5#
(6fd,e63) , (b3,3d3) , #742#107#3c6#30c#3c6#70b#3c6#b9a#
(71,bb) , (6bd,2fa1) , #6#36#62#64#2c#76#77#72#a8#18#
(aab,5831) , (43,3d3) , #2120#39e6#55eb#1b5f#55eb#3d62#55eb#51b#
(87b3,e087) , (1f3,24d) , #ae09#5ec9#71dc#67bf#413e#3304#5007#ba9a#53bc#
(257,383) , (1d5,c3d) , #13d#51#34e#1e9#142#150#182#34e#133#
(2ef,589) , (43,3d3) , #17a#15f#2f1#3a3#2f1#503#2f1#560#
(592f,68cb) , (43,3d3) , #3256#2261#54f7#11c#54f7#36f#54f7#16b4#
(3cb,82db) , (1f3,24d) , #4d0a#6c70#7505#17e8#2bbd#3cc5#608f#69a6#66b8#
(35b,701) , (8c3,d4b) , #2b2#d2#51d#685#a5#4c6#2e8#666#550#
(36b3,4c3f) , (3b3,53f) , #146b#1451#4014#1451#ae3#31dd#1451#510#29aa#
(11f5,1943) , (11f5,1943) , #ef7#99d#99d#1816#2cc#905#99d#e45#33c#2f7#a3e#
(bb3,ddf) , (43,3d3) , #258#d74#af4#ce5#af4#d6e#af4#4d5#
(90bb,b203) , (8c3,d4b) , #1aae#72b8#6ad6#2231#1e96#47f4#76c5#9a5f#3d90#
(36d,3587) , (3cb,82db) , #26e6#1229#f31#ea6#1c57#369#2068#2cb1#ea6#172c#
(cd,e81) , (cd,e81) , #2cc#90c#708#379#e47#ab6#688#c9d#
(4d9,6e9) , (4d9,6e9) , #3b3#6e0#5cb#29a#5b2#42c#18e#29a#29#
(637,6e9) , (3cb,82db) , #183#454#686#149#2b0#38e#13c#696#149#52a#
(3df,1295) , (8c3,d4b) , #112b#4ee#8c3#67b#d85#626#639#59e#aa1#
(ecf,447d) , (1d5,c3d) , #179a#bdc#1b8d#3778#2e8e#225a#37a3#1b8d#a30#
(10cd,3df1) , (8c3,d4b) , #47f#2c68#3219#2cc8#3703#257a#1582#51e#1641#
(4381,b5b1) , (8c3,d4b) , #28#38#63#33#2c#64#34#62#29#
(17c5,20cf) , (8c3,d4b) , #1180#797#cd1#1af0#1bc7#d8b#e83#2d7#8d5#
(4a5,847) , (8c3,d4b) , #28#3c6#63#2e4#2f7#26c#492#62#4d5#
(c9b,2c3f) , (6bd,2fa1) , #19f2#a0a#9c1#21da#9d9#15bb#e74#9fb#27cd#22d0#
(71,14f3) , (b3,3d3) , #6db#c35#1af#af7#1af#bd1#1af#a71#
(3ef,93b) , (8c3,d4b) , #102#49c#7ae#4fb#2f8#437#232#125#7c#
(74f,a0d) , (1f3,24d) , #353#668#c8#19a#4db#6b3#332#9e3#260#
(6bd,2fa1) , (6bd,2fa1) , #2521#1a46#2668#2192#12df#2f9d#2b9#2c37#b8b#290c#
(1b0b,1f73) , (1b0b,1f73) , #121b#186c#1841#f7#1841#45b#186c#9e4#e7a#1b7c#1d54#
(33eb,469f) , (33eb,469f) , #3c83#25ce#25ce#45d5#2e30#1001#39b3#359f#3376#3152#10ce#
(3b8f,9ac1) , (3cb,82db) , #9a4c#2334#541b#8da#76ee#7389#25ec#283e#8da#16cb#
(c91,f61) , (43,3d3) , #50#263#9ba#38e#9ba#e7c#9ba#b0e#
(a69,cdd) , (b3,3d3) , #e1#830#4f8#2a1#4f8#779#4f8#98e#
(43f,9af) , (3cb,82db) , #d7#6bd#343#547#374#407#cb#f8#547#718#
(64d,787) , (6bd,2fa1) , #429#273#4d8#1bf#1e9#5cd#236#399#a2#a4#
(673,1481) , (3b3,53f) , #79f#849#38b#849#8f5#927#849#13d5#2e6#
(969,68e9) , (1f3,24d) , #1582#219a#2562#507f#45cb#3b74#436f#8d7#10db#
(bf,733) , (43,3d3) , #682#3e6#294#2fd#294#40b#294#411#
(73db,80f9) , (3cb,82db) , #1d29#497b#63d8#8d4#1252#fab#6df#4752#8d4#4b7f#
(4153,db59) , (4153,db59) , #8595#5c98#4039#3831#b785#aae7#94d6#4dff#3831#be7f#838f#
(215,3515) , (8c3,d4b) , #14b0#1ff5#2c4c#fb1#1223#3099#1893#170e#601#
(1ee5,778f) , (3cb,82db) , #1b53#1ae5#263#d89#c89#69b7#5c5f#11a9#d89#4cbe#
(321b,3bcf) , (321b,3bcf) , #97#34f#14c6#1aa0#1088#1aae#34f#1088#30bd#128d#2c86#
(3235,64cf) , (3cb,82db) , #5c2d#4358#3008#1161#5476#5036#1644#5db9#1161#2d21#
(143,1b5) , (43,3d3) , #1ac#106#4f#82#4f#d5#4f#d#
(2c77,41b1) , (43,3d3) , #a00#64b#411a#1eac#411a#194f#411a#1216#
(367,70f) , (3b3,53f) , #35#192#13e#192#62d#23d#192#84#546#
(3df,a1b) , (3df,a1b) , #28#33#64#12d#348#827#31#2b7#97d#
(1999,24a3) , (b3,3d3) , #1d6b#1603#15d4#230b#15d4#1ed9#15d4#23ea#
(593,17dd) , (8c3,d4b) , #cc#1063#17ad#d5b#1687#52a#d0c#545#d22#
(3f0d,42d7) , (3cb,82db) , #13ed#1084#3d77#1d91#164c#1d4e#3c0e#3bb3#1d91#941#
(a9f,5c95) , (3b3,53f) , #18#5a9c#3726#5a9c#42c#2bc3#5a9c#419#998#
(1dc9,26ff) , (1dc9,26ff) , #ca8#bc0#3f7#1f32#14b9#a11#1406#d0b#e15#e15#b71#
(af1,36a3) , (1f3,24d) , #2bfa#1000#3443#29cd#1ef5#26a#c2#ed0#1e1d#
(135,667) , (1f3,24d) , #1b5#510#282#239#2c#61c#12#2d#658#
(13ed,3f1d) , (6bd,2fa1) , #2551#7e1#51a#17fc#130c#ad0#df7#2621#2d05#60f#
(1d7d,1f2b) , (1d5,c3d) , #a77#1b5#a41#176f#1967#112a#180f#a41#73a#
(489,d09) , (489,d09) , #5c8#9f9#a2b#346#c09#c8d#63f#346#252#
(823,10d3) , (43,3d3) , #1012#113#898#22#898#3e3#898#b43#
(25ed,2d47) , (3b3,53f) , #1430#c7d#2569#c7d#95c#1f95#c7d#1fc0#1a83#
(189b,2437) , (1f3,24d) , #1b7f#2085#1c89#14db#889#dc3#a02#18fd#711#
(3fe3,9d75) , (3fe3,9d75) , #57c3#7672#f89#49d7#7672#9111#eee#7570#28ad#1d0a#3375#
(1d45,360d) , (1d45,360d) , #1d44#f12#64#7d0#182d#45#2c86#f88#505#64#1651#
(35b,46d) , (35b,46d) , #433#15d#236#78#160#377#3dd#3a8#264#
(1bb,22b1) , (3cb,82db) , #e92#1d18#5a8#24d#1da7#bde#1143#10c4#24d#121b#
(4a3,3a19) , (8c3,d4b) , #3138#4f2#740#387f#18ca#2fce#186#10ea#d7e#
(24fd,660b) , (1f3,24d) , #4271#4c61#6237#354a#3f9a#62ef#33bb#2ca0#1d1c#
(3c1,abb) , (3c1,abb) , #333#92b#43b#5a#642#61#7c0#7c0#668#
(3c25,495b) , (6bd,2fa1) , #1c5e#16a6#1790#41b3#4309#1dc6#18d5#2ba2#2a35#41bc#
(377f,56c5) , (b3,3d3) , #12a2#bc0#1eff#5659#1eff#2e7b#1eff#d29#
(1407,4249) , (1407,4249) , #3d2f#3eea#3cf8#74a#292d#2562#3cf8#d63#3cf8#17f3#79f#
(754d,e0ff) , (3b3,53f) , #d104#5cb4#7517#5cb4#1197#c751#5cb4#8029#1e9d#
(40ab,8c71) , (3cb,82db) , #7eaf#219d#54ed#2aad#68e2#267c#7a76#199e#2aad#6390#
(497,1057) , (3b3,53f) , #281#816#350#816#fbe#8c6#816#ca#733#
(a03,2b0d) , (1f3,24d) , #84d#66a#29d7#2937#856#23a7#30b#1205#d82#
(581,a183) , (3b3,53f) , #4d93#4215#8866#4215#1130#639d#4215#5157#4f49#
(38b,2311) , (3b3,53f) , #954#1c62#e10#1c62#11b6#78b#1c62#2147#520#
(8333,a2dd) , (1d5,c3d) , #6451#4138#3781#3c4c#a26e#8309#20ac#3781#a005#
(65b,9c5) , (1f3,24d) , #cc#7c4#310#745#3f3#993#228#791#572#
(5b1,93b) , (43,3d3) , #5ab#4a7#6d7#5e2#6d7#2d9#6d7#7aa#
(431,a07) , (8c3,d4b) , #4ce#115#283#781#934#31d#81b#172#546#
(b63,1fc3) , (8c3,d4b) , #a0d#f67#c28#1499#1306#993#648#1816#28#
(4cd9,6f01) , (b3,3d3) , #6030#3843#6734#524f#6734#434c#6734#5801#
